                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.84444,                0.67773,                 1.2153,                0.78993,                0.74012,                0.80716,                0.58545,                0.99593,                0.87706,                 1.4458,             0.00056938,             0.00056938,             0.00056938
                     57,                0.83131,                0.67862,                 1.2174,                0.82921,                0.68611,                0.81288,                0.58718,                 0.9836,                0.80325,                 1.4309,               0.000557,               0.000557,               0.000557
                     58,                0.84552,                0.67453,                 1.2216,                0.68539,                0.76318,                0.80321,                0.58542,                 1.0022,                 0.8351,                 1.4421,             0.00054463,             0.00054463,             0.00054463
                     59,                0.82637,                0.64441,                 1.2001,                0.79802,                0.78399,                0.82123,                0.59745,                0.99402,                0.78688,                 1.4389,             0.00053225,             0.00053225,             0.00053225
                     60,                0.81528,                0.65123,                 1.1981,                0.77129,                0.79003,                0.83415,                0.59678,                 1.0043,                0.76334,                 1.4468,             0.00051988,             0.00051988,             0.00051988
                     61,                0.83294,                 0.6532,                 1.2109,                0.73942,                0.77802,                0.81029,                0.58074,                0.99537,                0.83523,                  1.442,              0.0005075,              0.0005075,              0.0005075
                     62,                0.83051,                0.65892,                  1.212,                0.78521,                 0.6993,                0.80246,                0.58446,                 1.0219,                0.88804,                 1.4595,             0.00049513,             0.00049513,             0.00049513
                     63,                 0.8164,                0.64554,                 1.2113,                0.81694,                0.73554,                0.81699,                0.59474,                0.99149,                0.78441,                 1.4358,             0.00048275,             0.00048275,             0.00048275
                     64,                 0.8238,                0.64534,                 1.2122,                 0.7411,                0.78266,                0.81707,                 0.5925,                 1.0225,                0.80375,                 1.4648,             0.00047038,             0.00047038,             0.00047038
                     65,                0.81414,                0.62169,                 1.1981,                0.79183,                0.76954,                0.83463,                   0.61,                0.99292,                0.76204,                 1.4336,               0.000458,               0.000458,               0.000458
                     66,                0.80287,                0.61229,                 1.1853,                0.75418,                0.74562,                0.81999,                0.61452,                0.99255,                0.83694,                 1.4464,             0.00044563,             0.00044563,             0.00044563
                     67,                 0.8012,                0.61028,                 1.1888,                0.78594,                0.80808,                0.84014,                0.61801,                0.99625,                0.76699,                 1.4448,             0.00043325,             0.00043325,             0.00043325
                     68,                 0.7947,                0.60756,                 1.1878,                0.78903,                0.73432,                0.82245,                0.59697,                 1.0184,                0.80288,                 1.4655,             0.00042087,             0.00042087,             0.00042087
                     69,                0.78512,                0.60432,                 1.1872,                0.80248,                0.77416,                 0.8344,                0.60366,                 1.0154,                0.76713,                 1.4709,              0.0004085,              0.0004085,              0.0004085
                     70,                 0.7906,                0.59542,                 1.1873,                0.82082,                0.74885,                0.83379,                0.60809,                 1.0099,                0.77246,                 1.4531,             0.00039613,             0.00039613,             0.00039613
                     71,                 0.7742,                0.58767,                 1.1829,                0.78773,                0.77719,                0.83135,                0.61056,                 1.0013,                0.78553,                 1.4501,             0.00038375,             0.00038375,             0.00038375
                     72,                0.78018,                0.59215,                 1.1746,                0.78385,                0.77112,                0.81362,                0.59432,                0.98084,                0.80533,                 1.4289,             0.00037138,             0.00037138,             0.00037138
                     73,                0.77878,                 0.5611,                 1.1742,                0.82501,                0.73172,                0.81756,                0.60272,                 1.0103,                0.80337,                 1.4518,               0.000359,               0.000359,               0.000359
                     74,                0.76782,                0.58293,                 1.1687,                 0.7966,                0.75656,                0.81997,                0.60388,                 1.0044,                0.79472,                 1.4531,             0.00034663,             0.00034663,             0.00034663
                     75,                0.75615,                0.56961,                 1.1634,                0.81149,                0.74618,                0.82657,                0.60493,                  1.001,                0.78463,                 1.4546,             0.00033425,             0.00033425,             0.00033425
                     76,                0.76321,                0.56539,                 1.1704,                0.74218,                 0.7756,                0.81608,                0.59297,                 1.0157,                0.82228,                  1.475,             0.00032188,             0.00032188,             0.00032188
                     77,                0.75187,                0.56177,                 1.1595,                0.78423,                 0.7796,                0.82241,                0.60108,                 1.0139,                0.80098,                 1.4672,              0.0003095,              0.0003095,              0.0003095
                     78,                0.75847,                0.55193,                 1.1571,                0.74581,                0.77721,                0.82224,                0.60344,                0.99627,                 0.7951,                 1.4621,             0.00029713,             0.00029713,             0.00029713
                     79,                0.74506,                 0.5484,                 1.1498,                0.81307,                0.72565,                0.81232,                0.59337,                0.99038,                0.80859,                 1.4566,             0.00028475,             0.00028475,             0.00028475
                     80,                0.74675,                0.54169,                 1.1662,                 0.7875,                0.76866,                 0.8179,                0.60153,                0.98986,                0.78856,                 1.4381,             0.00027237,             0.00027237,             0.00027237
                     81,                0.74959,                0.55553,                 1.1594,                0.77675,                0.78143,                0.81746,                0.59257,                 1.0067,                0.79359,                 1.4634,                0.00026,                0.00026,                0.00026
                     82,                0.73489,                0.54515,                 1.1563,                0.80221,                0.76332,                0.81792,                0.60679,                0.99543,                0.81084,                 1.4541,             0.00024762,             0.00024762,             0.00024762
                     83,                0.73042,                0.52912,                 1.1464,                0.81706,                0.73956,                0.81902,                0.59317,                 1.0127,                0.81862,                 1.4705,             0.00023525,             0.00023525,             0.00023525
                     84,                0.73405,                0.52823,                 1.1525,                0.78503,                0.78413,                0.81567,                0.60094,                0.99885,                0.78793,                 1.4724,             0.00022288,             0.00022288,             0.00022288
                     85,                0.72138,                 0.5222,                 1.1465,                0.79899,                 0.7439,                0.82037,                0.60507,                  1.013,                0.82233,                 1.4873,              0.0002105,              0.0002105,              0.0002105
                     86,                 0.7319,                0.53167,                  1.156,                0.79559,                0.74594,                0.81479,                0.59894,                 1.0131,                0.81156,                 1.4714,             0.00019813,             0.00019813,             0.00019813
                     87,                0.72897,                 0.5106,                 1.1436,                0.81245,                0.75298,                0.82422,                0.59903,                 1.0219,                 0.8139,                 1.4815,             0.00018575,             0.00018575,             0.00018575
                     88,                0.71395,                0.50625,                 1.1367,                 0.8096,                0.75855,                0.82227,                0.59456,                 1.0298,                0.81831,                 1.4873,             0.00017338,             0.00017338,             0.00017338
                     89,                0.70359,                0.50533,                 1.1306,                 0.7799,                0.77294,                0.81928,                0.59931,                 1.0192,                0.82161,                 1.4887,               0.000161,               0.000161,               0.000161
                     90,                0.70571,                 0.5087,                 1.1273,                0.79481,                 0.7632,                0.81384,                0.59845,                 1.0083,                0.82141,                  1.482,             0.00014862,             0.00014862,             0.00014862
                     91,                0.64415,                0.42139,                  1.152,                0.76981,                0.75584,                0.80526,                0.58595,                 1.0088,                0.84496,                 1.5144,             0.00013625,             0.00013625,             0.00013625
                     92,                0.61269,                 0.3543,                 1.1265,                0.80498,                0.76803,                0.80956,                0.58508,                 1.0229,                0.80217,                  1.517,             0.00012387,             0.00012387,             0.00012387
                     93,                0.59101,                0.34228,                 1.1066,                0.78299,                0.76979,                0.80215,                0.59028,                 1.0144,                0.83838,                 1.4953,              0.0001115,              0.0001115,              0.0001115
                     94,                  0.595,                0.34744,                 1.1084,                 0.8075,                0.72665,                0.80639,                0.58814,                 1.0246,                0.83749,                 1.5117,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.57311,                0.32728,                 1.1033,                0.79204,                0.75253,                0.81373,                0.59271,                 1.0211,                0.84442,                 1.5081,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 0.5733,                0.33338,                 1.0935,                0.81333,                0.74872,                0.81674,                0.58695,                  1.038,                 0.8335,                 1.5331,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.57361,                0.32254,                 1.0926,                0.81095,                0.75216,                0.81939,                0.59924,                 1.0217,                0.82679,                 1.5176,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                 0.5639,                0.31977,                 1.0879,                0.80278,                0.75037,                0.81411,                0.58914,                 1.0393,                0.82788,                 1.5419,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.56509,                0.31752,                 1.0888,                0.80797,                0.75845,                0.81462,                0.59456,                   1.03,                0.83191,                  1.534,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.56776,                0.31874,                 1.0869,                0.76195,                0.80332,                0.81698,                0.59981,                 1.0279,                0.82246,                 1.5307,             2.4875e-05,             2.4875e-05,             2.4875e-05
